model,split_seed,candidate_seed,layer_rule,layer,nested_model,features,n_candidates,n_images,n_positive,positive_rate,group_folds,oof_auroc,oof_auprc
bbb_densenet,1002,3,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15294,0.191175,5,0.9868761560345789,0.9583490121608297
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16670,0.208375,5,0.6398463083318912,0.3007166045217321
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16670,0.208375,5,0.7688871188339309,0.4242471343585891
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16670,0.208375,5,0.9844027774265138,0.9572905473345975
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16670,0.208375,5,0.9843913405855068,0.9572568345893179
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16670,0.208375,5,0.9845785395265807,0.9579913674680814
bbb_densenet,1002,4,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15243,0.1905375,5,0.6869298820063846,0.3324477382206019
bbb_densenet,1002,4,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15243,0.1905375,5,0.8050849900861871,0.44998885426974994
bbb_densenet,1002,4,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15243,0.1905375,5,0.9827508245488921,0.9495204184959448
bbb_densenet,1002,4,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15243,0.1905375,5,0.9827780955921255,0.9495152498050232
bbb_densenet,1002,4,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15243,0.1905375,5,0.9866062737313048,0.9576170364864687
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16821,0.2102625,5,0.6390956257190611,0.3014866822500567
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16821,0.2102625,5,0.7692211089868823,0.4259880346540873
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16821,0.2102625,5,0.9768871251436128,0.9418163852227686
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,16821,0.2102625,5,0.9768801139815652,0.9417862617117188
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,16821,0.2102625,5,0.9770129986031624,0.9424566947580792
bbb_densenet,1003,0,prespecified_prelogit,penultimate,M0_singular,"rank,singular_value",80000,400,15307,0.1913375,5,0.6943835466803565,0.33780121085789017
bbb_densenet,1003,0,prespecified_prelogit,penultimate,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,15307,0.1913375,5,0.8058547033876302,0.4494835395474711
bbb_densenet,1003,0,prespecified_prelogit,penultimate,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,15307,0.1913375,5,0.975316810858895,0.9323806412150161
bbb_densenet,1003,0,prespecified_prelogit,penultimate,M3_gradient,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos",80000,400,15307,0.1913375,5,0.9753151355341131,0.932288107922836
bbb_densenet,1003,0,prespecified_prelogit,penultimate,M4_transport,"rank,singular_value,jvp_gain,margin_drop,ce_grad_cos,dlr_grad_cos,transport_projection_energy",80000,400,15307,0.1913375,5,0.9806698390989704,0.9442909147887427
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,M0_singular,"rank,singular_value",80000,400,16877,0.2109625,5,0.6340782382274107,0.2993423409520455
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,M1_jvp_proxy,"rank,singular_value,jvp_gain",80000,400,16877,0.2109625,5,0.7674028861513623,0.4246022445344211
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,M2_margin,"rank,singular_value,jvp_gain,margin_drop",80000,400,16877,0.2109625,5,0.9773317920936961,0.9430392044686151
