model,split_seed,candidate_seed,layer_rule,layer,singular_auprc,jvp_auprc,margin_auprc,transport_auprc,m3_auprc,m4_auprc,delta_transport_auprc
bbb_densenet,1003,4,nested_selected_nonlogit,denseblock3,0.2960413318401,0.4204312073804909,0.9431925661969512,0.3802091349082052,0.9437921996887396,0.9445235762949612,0.0007313766062215787
bbb_densenet,1003,4,prespecified_prelogit,penultimate,0.313244816812111,0.4272683263775294,0.93199311624341,0.7857925274763327,0.933290299853598,0.94566763830788,0.012377338454282016
bbb_inception_v3,1001,0,nested_selected_nonlogit,mixed6,0.2373414226184519,0.3414538911396916,0.9659693160069892,0.3051765793953517,0.967121928567018,0.9685646149956272,0.00144268642860923
bbb_inception_v3,1001,0,prespecified_prelogit,penultimate,0.3225091235123214,0.4087737739744115,0.9607448961215376,0.9186139822759112,0.9621054898076584,0.9664865686771172,0.004381078869458821
bbb_inception_v3,1001,1,nested_selected_nonlogit,mixed6,0.2366913395222093,0.3405808598299519,0.9666417011907196,0.3082608737882324,0.9679455333165126,0.9691480776162952,0.0012025442997826152
bbb_inception_v3,1001,1,prespecified_prelogit,penultimate,0.322811453983281,0.4113220321404962,0.9610458635501048,0.9189035383621622,0.962359339869063,0.966666536099946,0.004307196230883048
bbb_inception_v3,1001,2,nested_selected_nonlogit,mixed6,0.2382843229804011,0.3401053807254495,0.9672776363592818,0.3044997167894026,0.9688082213211128,0.97010055861181,0.0012923372906972208
bbb_inception_v3,1001,2,prespecified_prelogit,penultimate,0.3237347295976773,0.4107578409216837,0.9607575960514224,0.919610238622938,0.9619598236726968,0.9664153386596304,0.004455514986933529
bbb_inception_v3,1001,3,nested_selected_nonlogit,mixed6,0.2365078540202685,0.3382565878824766,0.9663704304741578,0.3070847509245353,0.9679422266388048,0.9692919545156742,0.0013497278768693777
bbb_inception_v3,1001,3,prespecified_prelogit,penultimate,0.3230072636809504,0.4105790845818202,0.961444514754215,0.9200600074510488,0.9624208830799914,0.9667232023686744,0.004302319288682965
bbb_inception_v3,1001,4,nested_selected_nonlogit,mixed6,0.2385027529171658,0.3427996530100783,0.9666693586758917,0.3062057549876191,0.9679710572045146,0.9694055117994822,0.0014344545949676046
bbb_inception_v3,1001,4,prespecified_prelogit,penultimate,0.3243086094416481,0.4125366277632274,0.9608946892034927,0.9196320433359624,0.9619992439615112,0.9664809170933284,0.004481673131817243
bbb_inception_v3,1002,0,nested_selected_nonlogit,mixed7,0.3316263740444368,0.4157250383367393,0.9625625803380364,0.9293499570803968,0.9641970142581882,0.9674732887612744,0.0032762745030862073
bbb_inception_v3,1002,0,prespecified_prelogit,penultimate,0.3313958423641657,0.4154407229234413,0.9626942300561954,0.9295512475462542,0.9644128405611344,0.9677354093809312,0.0033225688197967562
bbb_inception_v3,1002,1,nested_selected_nonlogit,mixed7,0.3327489898815577,0.4159255734637769,0.9626837524682252,0.929279135522888,0.9643721358288316,0.9679452014597578,0.0035730656309261866
bbb_inception_v3,1002,1,prespecified_prelogit,penultimate,0.3319795715920501,0.4149554245877251,0.9624305435926244,0.929014130526599,0.9641697869519714,0.9677465994744228,0.0035768125224513447
bbb_inception_v3,1002,2,nested_selected_nonlogit,mixed7,0.3306672563391357,0.4141666726102226,0.9622898050149272,0.9290034040788208,0.9640297856536124,0.9674484176827856,0.003418632029173141
bbb_inception_v3,1002,2,prespecified_prelogit,penultimate,0.3308985796519076,0.4143274791998576,0.9625318319601008,0.928688676143012,0.9642740130476796,0.9675005073727664,0.003226494325086815
bbb_inception_v3,1002,3,nested_selected_nonlogit,mixed7,0.3323109692969326,0.4160181351869789,0.9623311890851912,0.9304483388478728,0.964163784320018,0.9678210182273874,0.003657233907369384
bbb_inception_v3,1002,3,prespecified_prelogit,penultimate,0.3322457542554701,0.4156012155116658,0.9618512189066046,0.9298561415987084,0.9636885155551946,0.9673840570092768,0.0036955414540821296
bbb_inception_v3,1002,4,nested_selected_nonlogit,mixed7,0.3314077862970456,0.4149029867991758,0.9628750738178006,0.9306439314906784,0.9646340936359454,0.9681834656704064,0.003549372034460929
bbb_inception_v3,1002,4,prespecified_prelogit,penultimate,0.3317781782521897,0.4146843149304478,0.9629741599879268,0.930476882207642,0.964719886310446,0.9682526185940884,0.0035327322836423702
bbb_inception_v3,1003,0,nested_selected_nonlogit,mixed6,0.2493610603211065,0.3575655780124569,0.9681360331361104,0.3220031581168214,0.9694325915912696,0.9702615743399126,0.0008289827486429591
bbb_inception_v3,1003,0,prespecified_prelogit,penultimate,0.3364258117843219,0.4254292243270413,0.9630055212195492,0.9226916143271288,0.9651610892537064,0.9685407106726844,0.0033796214189780738
bbb_inception_v3,1003,1,nested_selected_nonlogit,mixed6,0.2487516233781829,0.3577242221006796,0.9670202951978362,0.3215345946889114,0.9684382358990088,0.9694468072323932,0.0010085713333843893
bbb_inception_v3,1003,1,prespecified_prelogit,penultimate,0.3371034467826534,0.4260633925659692,0.961012104721508,0.9224796941004778,0.9631895743327408,0.9667165670418314,0.003526992709090626
bbb_inception_v3,1003,2,nested_selected_nonlogit,mixed6,0.2500306314661845,0.3615426471824126,0.9668601664299132,0.3191882963480854,0.9679592200820576,0.9691162243544208,0.0011570042723632046
bbb_inception_v3,1003,2,prespecified_prelogit,penultimate,0.3370643647323487,0.4268737923764639,0.961903231428686,0.923392930670433,0.9641532163803634,0.9678764614087966,0.003723245028433131
bbb_inception_v3,1003,3,nested_selected_nonlogit,mixed6,0.2494118840139966,0.3590353692886728,0.9671382771154984,0.3227726394830489,0.9682182595554072,0.9690518669534988,0.0008336073980915737
bbb_inception_v3,1003,3,prespecified_prelogit,penultimate,0.3358039063343032,0.4244189841494871,0.9605413358384224,0.9224199601970108,0.9629560020956872,0.9666224309546384,0.0036664288589511873
bbb_inception_v3,1003,4,nested_selected_nonlogit,mixed6,0.2504018897326495,0.3587413946845628,0.9665044673429216,0.3210046664860406,0.9679999732739192,0.9689234937890632,0.000923520515143994
bbb_inception_v3,1003,4,prespecified_prelogit,penultimate,0.335659144663473,0.4246460954178975,0.9622440349719422,0.9249682370665484,0.9645497418099443,0.968270972054538,0.0037212302445936984
bbb_resnet50,1001,0,nested_selected_nonlogit,avgpool,0.3369357835385078,0.4293076030633597,0.9166774559627258,0.8866264300816088,0.9233944435966474,0.9327172904782208,0.009322846881573477
bbb_resnet50,1001,1,nested_selected_nonlogit,avgpool,0.3353430425131123,0.4276446304116202,0.9157687563366428,0.8849646652215846,0.9224251069305098,0.931588566072342,0.009163459141832142
bbb_resnet50,1001,2,nested_selected_nonlogit,avgpool,0.3344112837044795,0.4268044478254141,0.916849062195188,0.8877795645451699,0.9229458144152464,0.9328955064082324,0.00994969199298601
bbb_resnet50,1001,3,nested_selected_nonlogit,avgpool,0.33598663148933,0.4291472833381133,0.9169660204462676,0.8867591062234859,0.923078798520116,0.9325573545574668,0.009478556037350816
bbb_resnet50,1001,4,nested_selected_nonlogit,avgpool,0.3365141129785641,0.4286536102660053,0.9174136085375884,0.8869359539041153,0.9236499725992636,0.9330114717515487,0.009361499152285124
bbb_resnet50,1002,0,nested_selected_nonlogit,avgpool,0.3252582520620314,0.417304858213458,0.9214953240401116,0.8970925850784115,0.926002533057767,0.9369179635851824,0.010915430527415393
bbb_resnet50,1002,1,nested_selected_nonlogit,avgpool,0.32746082879951,0.4210126322806172,0.9224781374740624,0.8974053575855121,0.9270293575464028,0.9373936185294776,0.010364260983074747
bbb_resnet50,1002,2,nested_selected_nonlogit,avgpool,0.3280031575247435,0.422160893203131,0.9208346271471116,0.894953418148198,0.9255384742564612,0.9358836416806002,0.010345167424139046
bbb_resnet50,1002,3,nested_selected_nonlogit,avgpool,0.3280903721937394,0.4205067917899208,0.9235117469998652,0.8984501562258915,0.9280224686477764,0.938239915263819,0.010217446616042625
bbb_resnet50,1002,4,nested_selected_nonlogit,avgpool,0.3280548419135499,0.4214884267800669,0.921523784950894,0.8957884017666748,0.926056392796884,0.9360768686094496,0.010020475812565599
bbb_resnet50,1003,0,nested_selected_nonlogit,avgpool,0.3339933572493666,0.4214418296709398,0.9238956646008714,0.8901439359346253,0.9290956093506616,0.9373392619678133,0.008243652617151653
bbb_resnet50,1003,1,nested_selected_nonlogit,avgpool,0.3355898164951281,0.4230923977719679,0.9236110458769022,0.8896905325707136,0.9288750960292136,0.937309836888162,0.008434740858948464
bbb_resnet50,1003,2,nested_selected_nonlogit,avgpool,0.3348274606547941,0.421778761649405,0.9226930206800756,0.890327375419496,0.9280709749892222,0.936552529340036,0.00848155435081377
bbb_resnet50,1003,3,nested_selected_nonlogit,avgpool,0.336612129932826,0.4237830610954227,0.9253982077788888,0.8944495390648022,0.9309456053509044,0.9392958079297876,0.008350202578883192
bbb_resnet50,1003,4,nested_selected_nonlogit,avgpool,0.3344347541685001,0.4219504958281629,0.9254073740975252,0.8913500814792333,0.9306864809810034,0.9384936646530936,0.007807183672090212
bbb_vgg19_bn,1001,0,nested_selected_nonlogit,block5,0.280040496609006,0.3279688551005252,0.9483121311180648,0.6888983399636976,0.9492402001592398,0.9513861952095172,0.0021459950502773495
bbb_vgg19_bn,1001,0,prespecified_prelogit,penultimate,0.2852662625111621,0.3334774920988092,0.9479286487811752,0.8109423478629345,0.9491805781064138,0.9522453265315798,0.0030647484251660195
bbb_vgg19_bn,1001,1,nested_selected_nonlogit,block5,0.2792857153621665,0.3274996951348674,0.9469958572645674,0.6866325385006694,0.9479014370771196,0.9501066388276372,0.002205201750517638
bbb_vgg19_bn,1001,1,prespecified_prelogit,penultimate,0.2839412330043717,0.3321303827002942,0.9479378140197976,0.806481119455053,0.949223589612218,0.9521180197334288,0.0028944301212108225
bbb_vgg19_bn,1001,2,nested_selected_nonlogit,block5,0.2801579900219785,0.3277392298125861,0.9464587624805474,0.6939574287154111,0.9473241209931555,0.9495782241479872,0.002254103154831655
bbb_vgg19_bn,1001,2,prespecified_prelogit,penultimate,0.284765354717705,0.3329082239674549,0.948654304620184,0.8081395520398954,0.9499972160338176,0.952842513512108,0.0028452974782904317
bbb_vgg19_bn,1001,3,nested_selected_nonlogit,block5,0.2789728386321091,0.3274232719742356,0.9477429795756058,0.6877512997772144,0.948728691472742,0.950797166232192,0.0020684747594500452
bbb_vgg19_bn,1001,3,prespecified_prelogit,penultimate,0.2843675356914301,0.3327385434878419,0.9486874820701756,0.8088218742528113,0.950055351667982,0.9529224045978718,0.0028670529298897574
bbb_vgg19_bn,1001,4,nested_selected_nonlogit,block5,0.2797923761307492,0.3274356364966586,0.9476249801213796,0.6920796300273548,0.9486159480276072,0.9509920330082458,0.002376084980638571
bbb_vgg19_bn,1001,4,prespecified_prelogit,penultimate,0.2835199237643037,0.3318156224147076,0.9487843519509164,0.8087399465131563,0.9501800823705908,0.9527425274638024,0.002562445093211574
bbb_vgg19_bn,1002,0,nested_selected_nonlogit,block5,0.2784717500547937,0.323356312589222,0.9434601482377848,0.730452327711332,0.9449193460523804,0.9458844702941064,0.000965124241726012
bbb_vgg19_bn,1002,0,prespecified_prelogit,penultimate,0.2853372098553971,0.331965624336297,0.9451351976127804,0.8461245167433538,0.9469153519991208,0.948194482233067,0.001279130233946213
bbb_vgg19_bn,1002,1,nested_selected_nonlogit,block5,0.2798630585703224,0.324555385016896,0.9436311284940532,0.7316682009558957,0.9451023886583794,0.9460183501775844,0.000915961519205033
