model,split_seed,candidate_seed,layer_rule,layer,M0_singular,M1_jvp_proxy,M2_margin,M3_gradient,M4_transport,delta_transport_oof_auprc
bbb_densenet,1002,2,prespecified_prelogit,penultimate,0.33120517090506596,0.44631706790774917,0.9483747564093972,0.9483354390943409,0.9572808212685107,0.008945382174169736
bbb_densenet,1002,3,nested_selected_nonlogit,denseblock3,0.29923299054990327,0.4213788715062995,0.9570948135818197,0.9571386136187184,0.9579166347274793,0.0007780211087609068
bbb_densenet,1002,3,prespecified_prelogit,penultimate,0.3351994689645377,0.4512126568736391,0.9500293821127427,0.9499994626489076,0.9583490121608297,0.008349549511922127
bbb_densenet,1002,4,nested_selected_nonlogit,denseblock3,0.3007166045217321,0.4242471343585891,0.9572905473345975,0.9572568345893179,0.9579913674680814,0.0007345328787635719
bbb_densenet,1002,4,prespecified_prelogit,penultimate,0.3324477382206019,0.44998885426974994,0.9495204184959448,0.9495152498050232,0.9576170364864687,0.008101786681445455
bbb_densenet,1003,0,nested_selected_nonlogit,denseblock3,0.3014866822500567,0.4259880346540873,0.9418163852227686,0.9417862617117188,0.9424566947580792,0.0006704330463604968
bbb_densenet,1003,0,prespecified_prelogit,penultimate,0.33780121085789017,0.4494835395474711,0.9323806412150161,0.932288107922836,0.9442909147887427,0.012002806865906712
bbb_densenet,1003,1,nested_selected_nonlogit,denseblock3,0.2993423409520455,0.4246022445344211,0.9430392044686151,0.9430433375840526,0.9438385487041534,0.0007952111201008361
bbb_densenet,1003,1,prespecified_prelogit,penultimate,0.33674835665326674,0.44762075333497986,0.9331961910393386,0.9331279712698812,0.9450070190392595,0.011879047769378315
bbb_densenet,1003,2,nested_selected_nonlogit,denseblock3,0.30012985517586355,0.42324837605532817,0.942016910973769,0.9420323163303932,0.9428061310184774,0.00077381468808424
bbb_densenet,1003,2,prespecified_prelogit,penultimate,0.3392879669324806,0.45109094461081495,0.9329801586922288,0.9329205910682503,0.9447697053521701,0.01184911428391977
bbb_densenet,1003,3,nested_selected_nonlogit,denseblock3,0.29904242913969215,0.4248226899552891,0.9429612597012194,0.9429631831162657,0.9435384751035715,0.0005752919873057705
bbb_densenet,1003,3,prespecified_prelogit,penultimate,0.3374117127920483,0.45003395912257016,0.9334846433236598,0.9334978029232506,0.9444891735921679,0.01099137066891731
bbb_densenet,1003,4,nested_selected_nonlogit,denseblock3,0.2997455662200108,0.42424917653945554,0.942958926012858,0.9429644163809465,0.9436824891132426,0.0007180727322960712
bbb_densenet,1003,4,prespecified_prelogit,penultimate,0.33831104940208684,0.45023679668575267,0.9322168049341253,0.9321744167747179,0.9443825669026837,0.012208150127965833
bbb_inception_v3,1001,0,nested_selected_nonlogit,mixed6,0.2402790414774309,0.34465859208919886,0.9662293546030079,0.9664116015343328,0.9675493312004995,0.0011377296661666536
